;;TEST COLLECTION: Wed Jan 19 05:42:19 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
sname,MADI,dim,dbSize,collection,nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,1,10,10000,F,100,0,54,0.54,17618.8,RAN,BOM,22.46,11.73,214,0,0
CMT,1,10,10000,T,100,0,54,0.54,17618.8,RAN,BOM,22.46,11.73,214,0,0
CMT,1,10,10000,F,100,2.56109,54258,542.58,17618.8,RAN,BOM,9407.27,9046.14,214,589,5890
CMT,1,10,10000,T,100,2.56109,54258,542.58,17618.8,RAN,BOM,9406.27,9044.76,214,620,6200
CMT,1,10,10000,F,100,5.12217,972215,9722.15,17618.8,RAN,BOM,9999.98,9999.97,214,1615,16150
CMT,1,10,10000,T,100,5.12217,972215,9722.15,17618.8,RAN,BOM,8463.63,8033.35,214,1521,15210
CMT,1,10,10000,F,100,7.68326,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1602,16020
CMT,1,10,10000,T,100,7.68326,1000000,10000,17618.8,RAN,BOM,413.55,315.42,214,1284,12840
CMT,1,10,10000,F,100,10.2443,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1435,14350
CMT,1,10,10000,T,100,10.2443,1000000,10000,17618.8,RAN,BOM,2.1,1.55,214,823,8230
CMT,1,10,10000,F,100,12.8054,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1413,14130
CMT,1,10,10000,T,100,12.8054,1000000,10000,17618.8,RAN,BOM,1,1,214,1055,10550
CMT,1,10,10000,F,100,15.3665,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1625,16250
CMT,1,10,10000,T,100,15.3665,1000000,10000,17618.8,RAN,BOM,1,1,214,1046,10460
CMT,1,10,10000,F,100,17.9276,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1610,16100
CMT,1,10,10000,T,100,17.9276,1000000,10000,17618.8,RAN,BOM,1,1,214,1062,10620
CMT,1,10,10000,F,100,20.4887,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1602,16020
CMT,1,10,10000,T,100,20.4887,1000000,10000,17618.8,RAN,BOM,1,1,214,1056,10560
CMT,1,10,10000,F,100,23.0498,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1596,15960
CMT,1,10,10000,T,100,23.0498,1000000,10000,17618.8,RAN,BOM,1,1,214,1056,10560
CMT,1,10,10000,F,100,25.6109,1000000,10000,17618.8,RAN,BOM,10000,10000,214,1602,16020
CMT,1,10,10000,T,100,25.6109,1000000,10000,17618.8,RAN,BOM,1,1,214,1045,10450
CMT,1000,10,10000,F,100,0,54,0.54,26290.9,RAN,BOM,22.46,11.73,323,1,10
CMT,1000,10,10000,T,100,0,54,0.54,26290.9,RAN,BOM,22.46,11.73,323,1,10
CMT,1000,10,10000,F,100,2.56109,54258,542.58,26290.9,RAN,BOM,9287.82,8485.16,323,920,9200
CMT,1000,10,10000,T,100,2.56109,54258,542.58,26290.9,RAN,BOM,9286.69,8483.05,323,1110,11100
CMT,1000,10,10000,F,100,5.12217,972215,9722.15,26290.9,RAN,BOM,9999.98,9999.97,323,2123,21230
CMT,1000,10,10000,T,100,5.12217,972215,9722.15,26290.9,RAN,BOM,8230.17,7326.19,323,2012,20120
CMT,1000,10,10000,F,100,7.68326,1000000,10000,26290.9,RAN,BOM,10000,10000,323,1966,19660
CMT,1000,10,10000,T,100,7.68326,1000000,10000,26290.9,RAN,BOM,267.34,154.54,323,1202,12020
CMT,1000,10,10000,F,100,10.2443,1000000,10000,26290.9,RAN,BOM,10000,10000,323,1902,19020
CMT,1000,10,10000,T,100,10.2443,1000000,10000,26290.9,RAN,BOM,2.1,1.53,323,906,9060
CMT,1000,10,10000,F,100,12.8054,1000000,10000,26290.9,RAN,BOM,10000,10000,323,1857,18570
CMT,1000,10,10000,T,100,12.8054,1000000,10000,26290.9,RAN,BOM,1,1,323,1169,11690
CMT,1000,10,10000,F,100,15.3665,1000000,10000,26290.9,RAN,BOM,10000,10000,323,2086,20860
CMT,1000,10,10000,T,100,15.3665,1000000,10000,26290.9,RAN,BOM,1,1,323,1108,11080
CMT,1000,10,10000,F,100,17.9276,1000000,10000,26290.9,RAN,BOM,10000,10000,323,2068,20680
CMT,1000,10,10000,T,100,17.9276,1000000,10000,26290.9,RAN,BOM,1,1,323,1129,11290
CMT,1000,10,10000,F,100,20.4887,1000000,10000,26290.9,RAN,BOM,10000,10000,323,2124,21240
CMT,1000,10,10000,T,100,20.4887,1000000,10000,26290.9,RAN,BOM,1,1,323,1125,11250
